"","tax.assignment","depth_cat","comm.index"
"1","Acartia clausii","02. Benthos (5-6km)",4683
"2","Acartia negligens","01. Epipelagic (0-200m)",88256
"3","Acrocalanus gracilis","01. Epipelagic (0-200m)",88640
"4","Annelida","01. Epipelagic (0-200m)",123
"5","Arthropoda","01. Epipelagic (0-200m)",43500
"6","Arthropoda","02. Benthos (5-6km)",5430
"7","Atlanta frontieri","04. Benthos (10km)",12462
"8","Bolinopsis aff. vitrea SBJ-2021","02. Benthos (5-6km)",410
"9","Calocalanus pavo","01. Epipelagic (0-200m)",10490
"10","Calocalanus plumulosus","01. Epipelagic (0-200m)",10538
"11","Chaetognatha","02. Benthos (5-6km)",40
"12","Chelophyes contorta","01. Epipelagic (0-200m)",1
"13","Chloroparvula sp. RCC4572","04. Benthos (10km)",94
"14","Chloroparvula sp. RCC696","01. Epipelagic (0-200m)",459
"15","Chloroparvula sp. RCC999","01. Epipelagic (0-200m)",1481
"16","Chlorophyta","01. Epipelagic (0-200m)",121
"17","Chloropicon roscoffensis","01. Epipelagic (0-200m)",26
"18","Clausocalanus furcatus","01. Epipelagic (0-200m)",35
"19","Clytia sp. 1 AFC-2016","01. Epipelagic (0-200m)",65
"20","Cnidaria","01. Epipelagic (0-200m)",14290
"21","Deiopea aff. kaloktenota 2 LMC-2021","02. Benthos (5-6km)",12
"22","Delibus sp. AC-2013","01. Epipelagic (0-200m)",21423
"23","Delibus sp. V128.D1b","01. Epipelagic (0-200m)",56
"24","Eurhamphaea vexilligera","03. Benthos (7-8km)",1
"25","Farranula gibbula","01. Epipelagic (0-200m)",45570
"26","Mollusca","01. Epipelagic (0-200m)",1243
"27","Mollusca","02. Benthos (5-6km)",1
"28","Nanomia bijuga","03. Benthos (7-8km)",2778
"29","Nemertea","01. Epipelagic (0-200m)",101
"30","Obelia dichotoma","01. Epipelagic (0-200m)",240
"31","Paracalanus quasimodo","02. Benthos (5-6km)",1332
"32","Porifera","01. Epipelagic (0-200m)",613
"33","Pseudocalanus elongatus","02. Benthos (5-6km)",534
"34","Streptophyta","01. Epipelagic (0-200m)",835
