sample,replicate,triplicate,type,depth,depth_cat,lat,long,lat_deg,lat_min,log_deg,log_min,day,month,year,volume_L,Comments
MTeDNA_pool_04_1,MTeDNA_pool_04,yes,eDNA,0,01. Epipelagic (0-200m),NA,NA,NA,NA,NA,NA,10,June ,2020,1.5,hydrophone closP
MTeDNA_pool_04_2,MTeDNA_pool_04,yes,eDNA,0,01. Epipelagic (0-200m),NA,NA,NA,NA,NA,NA,10,June ,2020,1.5,hydrophone closP
MTeDNA_pool_04_3,MTeDNA_pool_04,yes,eDNA,0,01. Epipelagic (0-200m),NA,NA,NA,NA,NA,NA,10,June ,2020,1.5,hydrophone closP
MTeDNA_S17_1,MTeDNA_S17,yes,eDNA,0,01. Epipelagic (0-200m),24.85316667,136.5188333,24,51.19,136,31.13,20,July,2020,1.5,hydrophone closP
MTeDNA_S17_2,MTeDNA_S17,yes,eDNA,0,01. Epipelagic (0-200m),24.85316667,136.5188333,24,51.19,136,31.13,20,July,2020,1.5,hydrophone closP
MTeDNA_S17_3,MTeDNA_S17,yes,eDNA,0,01. Epipelagic (0-200m),24.85316667,136.5188333,24,51.19,136,31.13,20,July,2020,1.5,hydrophone closP
MTeDNA_S18_1,MTeDNA_S18,yes,eDNA,0,01. Epipelagic (0-200m),25.17466667,136.8145,25,10.48,136,48.87,18,July,2020,1.5,hydrophone closP
MTeDNA_S18_2,MTeDNA_S18,yes,eDNA,0,01. Epipelagic (0-200m),25.17466667,136.8145,25,10.48,136,48.87,18,July,2020,1.5,hydrophone closP
MTeDNA_S18_3,MTeDNA_S18,yes,eDNA,0,01. Epipelagic (0-200m),25.17466667,136.8145,25,10.48,136,48.87,18,July,2020,1.5,hydrophone closP
MTeDNA_S19_1,MTeDNA_S19,yes,eDNA,0,01. Epipelagic (0-200m),25.08433333,136.6025,25,5.06,136,36.15,17,July,2020,1.5,hydrophone closP
MTeDNA_S19_2,MTeDNA_S19,yes,eDNA,0,01. Epipelagic (0-200m),25.08433333,136.6025,25,5.06,136,36.15,17,July,2020,1.5,hydrophone closP
MTeDNA_S19_3,MTeDNA_S19,yes,eDNA,0,01. Epipelagic (0-200m),25.08433333,136.6025,25,5.06,136,36.15,17,July,2020,1.5,hydrophone closP
MTeDNA_S21_1,MTeDNA_S21,yes,eDNA,0,01. Epipelagic (0-200m),16.9245,147.9751667,16,55.47,147,58.51,4,July,2020,1.5,hydrophone closP
MTeDNA_S21_2,MTeDNA_S21,yes,eDNA,0,01. Epipelagic (0-200m),16.9245,147.9751667,16,55.47,147,58.51,4,July,2020,1.5,hydrophone closP
MTeDNA_S21_3,MTeDNA_S21,yes,eDNA,0,01. Epipelagic (0-200m),16.9245,147.9751667,16,55.47,147,58.51,4,July,2020,1.5,hydrophone closP
MTeDNA_S22_1,MTeDNA_S22,yes,eDNA,0,01. Epipelagic (0-200m),19.17516667,147.5813333,19,10.51,147,34.88,3,July,2020,1.5,hydrophone closP
MTeDNA_S22_2,MTeDNA_S22,yes,eDNA,0,01. Epipelagic (0-200m),19.17516667,147.5813333,19,10.51,147,34.88,3,July,2020,1.5,hydrophone closP
MTeDNA_S22_3,MTeDNA_S22,yes,eDNA,0,01. Epipelagic (0-200m),19.17516667,147.5813333,19,10.51,147,34.88,3,July,2020,1.5,hydrophone closP
MTeDNA_S24_1,MTeDNA_S24,yes,eDNA,0,01. Epipelagic (0-200m),13.70683333,147.006,13,42.41,147,0.36,7,July,2020,1.5,hydrophone closP
MTeDNA_S24_2,MTeDNA_S24,yes,eDNA,0,01. Epipelagic (0-200m),13.70683333,147.006,13,42.41,147,0.36,7,July,2020,1.5,hydrophone closP
MTeDNA_S24_3,MTeDNA_S24,yes,eDNA,0,01. Epipelagic (0-200m),13.70683333,147.006,13,42.41,147,0.36,7,July,2020,1.5,hydrophone closP
MTeDNA_S26_1,MTeDNA_S26,yes,eDNA,0,01. Epipelagic (0-200m),11.38583333,142.5796667,11,23.15,142,34.78,23,June ,2020,1.5,hydrophone closP
MTeDNA_S26_2,MTeDNA_S26,yes,eDNA,0,01. Epipelagic (0-200m),11.38583333,142.5796667,11,23.15,142,34.78,23,June ,2020,1.5,hydrophone closP
MTeDNA_S26_3,MTeDNA_S26,yes,eDNA,0,01. Epipelagic (0-200m),11.38583333,142.5796667,11,23.15,142,34.78,23,June ,2020,1.5,hydrophone closP
