,ASV_ID,accession,percent_identity,query_len,e_value,bit_score,kingdom,phylum,class,order,family,genus,species
1,441f8173ec51c65fdd9af290206a21ce,MN025475,86.262,313,1.13E-88,340,NA,Discosea,Flabellinia,Dactylopodida,Paramoebidae,Paramoeba,Paramoeba pemaquidensis
2,1035635e9a8bc87e84db2211855609f5,GQ120091,84.815,270,1.50E-67,270,Metazoa,Cnidaria,Hydrozoa,Narcomedusae,Tetraplatiidae,Tetraplatia,Tetraplatia volitans
3,1d89909fb732d215049ff8531bbf2263,KM058088,81.529,314,4.19E-63,255,NA,Oomycota,Peronosporea,Pythiales,Pythiaceae,Pythium,Pythium burgundicum
4,e4224fcbc47362434562784c2491d073,KY922431,100,313,2.19E-160,579,Metazoa,Arthropoda,Arachnida,Trombidiformes,Demodicidae,Demodex,Demodex folliculorum
5,ff42cf34ec67b64fcc86c3ff443c4f59,KY922431,100,311,2.81E-159,575,Metazoa,Arthropoda,Arachnida,Trombidiformes,Demodicidae,Demodex,Demodex folliculorum
6,2d3fab5a7c1e77acb6e3bb1486a9cb76,OM453929,99.051,316,4.79E-157,568,NA,NA,Dinophyceae,Lophodiniales,Lophodiniaceae,Biecheleriopsis,Biecheleriopsis adriatica
7,c2e0a53934bfd383b83c9e30f7280035,OM453929,100,316,4.76E-162,584,NA,NA,Dinophyceae,Lophodiniales,Lophodiniaceae,Biecheleriopsis,Biecheleriopsis adriatica
8,0d3184bc0122bd396e5a79cfa7c7e414,NC_027966,83.612,299,6.92E-71,281,NA,Oomycota,Peronosporea,Pythiales,Pythiaceae,Pythium,Pythium insidiosum
9,2be0a24e1a0b2d0ca68d816dd00e6711,NC_027966,83.946,299,1.49E-72,287,NA,Oomycota,Peronosporea,Pythiales,Pythiaceae,Pythium,Pythium insidiosum
10,6a4108d75ae918bcf3dcd55fe6f3dd38,NC_027966,83.28,311,1.49E-72,287,NA,Oomycota,Peronosporea,Pythiales,Pythiaceae,Pythium,Pythium insidiosum
11,f591d84e307c33b5c358842f889d9f0f,LC547944,81.47,313,1.17E-63,257,NA,Oomycota,Peronosporea,Pythiales,Pythiaceae,Pythium,Pythium insidiosum
12,016496df2e5bb38665c3d5629bdc7ce0,KJ412302,81.23,309,1.95E-61,250,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
13,04a23e08fc619d6de7e077be22ce5f97,KJ412302,82.051,312,1.94E-66,267,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
14,0ba25c8aa5ffd82c0f6d24c9f4e70dff,KJ412302,84.416,308,1.48E-77,303,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
15,0dec4aff4bcd8897303a39e5ec2cb598,KJ412302,83.333,306,6.92E-71,281,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
16,30d5d972305c7e02ed78a5f58ae9c555,KJ412302,83.882,304,1.15E-73,291,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
17,3530d5092800ef019d13730b4aa79155,KJ412302,83.007,306,3.22E-69,276,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
18,3cf31ae690a74e424e5cd75f04873474,KJ412302,83.882,304,1.15E-73,291,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
